 time            v(nodeA)        time            v(nodeB)       
 1.58280000e-04  4.19244005e+00  1.58280000e-04  2.09622003e+00 
 1.59280000e-04  4.20947635e+00  1.59280000e-04  2.10473818e+00 
 1.60280000e-04  4.22634647e+00  1.60280000e-04  2.11317324e+00 
 1.61280000e-04  4.24304974e+00  1.61280000e-04  2.12152487e+00 
 1.62280000e-04  4.25958550e+00  1.62280000e-04  2.12979275e+00 
 1.63280000e-04  4.27595310e+00  1.63280000e-04  2.13797655e+00 
 1.64280000e-04  4.29215189e+00  1.64280000e-04  2.14607594e+00 
 1.65280000e-04  4.30818123e+00  1.65280000e-04  2.15409062e+00 
 1.66280000e-04  4.32404050e+00  1.66280000e-04  2.16202025e+00 
 1.67280000e-04  4.33972906e+00  1.67280000e-04  2.16986453e+00 
 1.68280000e-04  4.35524629e+00  1.68280000e-04  2.17762315e+00 
 1.69280000e-04  4.37059159e+00  1.69280000e-04  2.18529580e+00 
 1.70280000e-04  4.38576434e+00  1.70280000e-04  2.19288217e+00 
 1.71280000e-04  4.40076395e+00  1.71280000e-04  2.20038198e+00 
 1.72280000e-04  4.41558983e+00  1.72280000e-04  2.20779492e+00 
 1.73280000e-04  4.43024139e+00  1.73280000e-04  2.21512069e+00 
 1.74280000e-04  4.44471805e+00  1.74280000e-04  2.22235902e+00 
 1.75280000e-04  4.45901923e+00  1.75280000e-04  2.22950962e+00 
 1.76280000e-04  4.47314439e+00  1.76280000e-04  2.23657219e+00 
 1.77280000e-04  4.48709295e+00  1.77280000e-04  2.24354647e+00 
 1.78280000e-04  4.50086437e+00  1.78280000e-04  2.25043218e+00 
 1.79280000e-04  4.51445810e+00  1.79280000e-04  2.25722905e+00 
 1.80280000e-04  4.52787361e+00  1.80280000e-04  2.26393680e+00 
 1.81280000e-04  4.54111037e+00  1.81280000e-04  2.27055518e+00 
 1.82280000e-04  4.55416785e+00  1.82280000e-04  2.27708392e+00 
 1.83280000e-04  4.56704554e+00  1.83280000e-04  2.28352277e+00 
 1.84280000e-04  4.57974293e+00  1.84280000e-04  2.28987146e+00 
 1.85280000e-04  4.59225952e+00  1.85280000e-04  2.29612976e+00 
 1.86280000e-04  4.60459482e+00  1.86280000e-04  2.30229741e+00 
 1.87280000e-04  4.61674833e+00  1.87280000e-04  2.30837417e+00 
 1.88280000e-04  4.62871959e+00  1.88280000e-04  2.31435979e+00 
 1.89280000e-04  4.64050811e+00  1.89280000e-04  2.32025405e+00 
 1.90280000e-04  4.65211343e+00  1.90280000e-04  2.32605671e+00 
 1.91280000e-04  4.66353509e+00  1.91280000e-04  2.33176754e+00 
 1.92280000e-04  4.67477264e+00  1.92280000e-04  2.33738632e+00 
 1.93280000e-04  4.68582565e+00  1.93280000e-04  2.34291282e+00 
 1.94280000e-04  4.69669366e+00  1.94280000e-04  2.34834683e+00 
 1.95280000e-04  4.70737626e+00  1.95280000e-04  2.35368813e+00 
 1.96280000e-04  4.71787301e+00  1.96280000e-04  2.35893651e+00 
 1.97280000e-04  4.72818352e+00  1.97280000e-04  2.36409176e+00 
 1.98280000e-04  4.73830736e+00  1.98280000e-04  2.36915368e+00 
 1.99280000e-04  4.74824415e+00  1.99280000e-04  2.37412207e+00 
 2.00280000e-04  4.75799348e+00  2.00280000e-04  2.37899674e+00 
 2.01280000e-04  4.76755497e+00  2.01280000e-04  2.38377748e+00 
 2.02280000e-04  4.77692825e+00  2.02280000e-04  2.38846412e+00 
 2.03280000e-04  4.78611294e+00  2.03280000e-04  2.39305647e+00 
 2.04280000e-04  4.79510869e+00  2.04280000e-04  2.39755434e+00 
 2.05280000e-04  4.80391513e+00  2.05280000e-04  2.40195757e+00 
 2.06280000e-04  4.81253192e+00  2.06280000e-04  2.40626596e+00 
 2.07280000e-04  4.82095873e+00  2.07280000e-04  2.41047936e+00 
 2.08280000e-04  4.82919520e+00  2.08280000e-04  2.41459760e+00 
 2.09280000e-04  4.83724104e+00  2.09280000e-04  2.41862052e+00 
 2.10280000e-04  4.84509590e+00  2.10280000e-04  2.42254795e+00 
 2.11280000e-04  4.85275949e+00  2.11280000e-04  2.42637974e+00 
 2.12280000e-04  4.86023150e+00  2.12280000e-04  2.43011575e+00 
 2.13280000e-04  4.86751164e+00  2.13280000e-04  2.43375582e+00 
 2.14280000e-04  4.87459961e+00  2.14280000e-04  2.43729981e+00 
 2.15280000e-04  4.88149515e+00  2.15280000e-04  2.44074757e+00 
 2.16280000e-04  4.88819797e+00  2.16280000e-04  2.44409898e+00 
 2.17280000e-04  4.89470781e+00  2.17280000e-04  2.44735391e+00 
 2.18280000e-04  4.90102442e+00  2.18280000e-04  2.45051221e+00 
 2.19280000e-04  4.90714754e+00  2.19280000e-04  2.45357377e+00 
 2.20280000e-04  4.91307694e+00  2.20280000e-04  2.45653847e+00 
 2.21280000e-04  4.91881238e+00  2.21280000e-04  2.45940619e+00 
 2.22280000e-04  4.92435364e+00  2.22280000e-04  2.46217682e+00 
 2.23280000e-04  4.92970048e+00  2.23280000e-04  2.46485024e+00 
 2.24280000e-04  4.93485272e+00  2.24280000e-04  2.46742636e+00 
 2.25280000e-04  4.93981013e+00  2.25280000e-04  2.46990506e+00 
 2.26280000e-04  4.94457253e+00  2.26280000e-04  2.47228626e+00 
 2.27280000e-04  4.94913972e+00  2.27280000e-04  2.47456986e+00 
 2.28280000e-04  4.95351153e+00  2.28280000e-04  2.47675577e+00 
 2.29280000e-04  4.95768778e+00  2.29280000e-04  2.47884389e+00 
 2.30280000e-04  4.96166832e+00  2.30280000e-04  2.48083416e+00 
 2.31280000e-04  4.96545297e+00  2.31280000e-04  2.48272649e+00 
 2.32280000e-04  4.96904160e+00  2.32280000e-04  2.48452080e+00 
 2.33280000e-04  4.97243406e+00  2.33280000e-04  2.48621703e+00 
 2.34280000e-04  4.97563021e+00  2.34280000e-04  2.48781511e+00 
 2.35280000e-04  4.97862994e+00  2.35280000e-04  2.48931497e+00 
 2.36280000e-04  4.98143312e+00  2.36280000e-04  2.49071656e+00 
 2.37280000e-04  4.98403964e+00  2.37280000e-04  2.49201982e+00 
 2.38280000e-04  4.98644939e+00  2.38280000e-04  2.49322470e+00 
 2.39280000e-04  4.98866230e+00  2.39280000e-04  2.49433115e+00 
 2.40280000e-04  4.99067825e+00  2.40280000e-04  2.49533913e+00 
 2.41280000e-04  4.99249719e+00  2.41280000e-04  2.49624859e+00 
 2.42280000e-04  4.99411903e+00  2.42280000e-04  2.49705951e+00 
 2.43280000e-04  4.99554371e+00  2.43280000e-04  2.49777185e+00 
 2.44280000e-04  4.99677117e+00  2.44280000e-04  2.49838559e+00 
 2.45280000e-04  4.99780137e+00  2.45280000e-04  2.49890069e+00 
 2.46280000e-04  4.99863427e+00  2.46280000e-04  2.49931713e+00 
 2.47280000e-04  4.99926982e+00  2.47280000e-04  2.49963491e+00 
 2.48280000e-04  4.99970802e+00  2.48280000e-04  2.49985401e+00 
 2.49280000e-04  4.99994884e+00  2.49280000e-04  2.49997442e+00 
 2.50280000e-04  4.99999226e+00  2.50280000e-04  2.49999613e+00 
 2.51280000e-04  4.99983830e+00  2.51280000e-04  2.49991915e+00 
 2.52280000e-04  4.99948695e+00  2.52280000e-04  2.49974347e+00 
 2.53280000e-04  4.99893823e+00  2.53280000e-04  2.49946911e+00 
 2.54280000e-04  4.99819216e+00  2.54280000e-04  2.49909608e+00 
 2.55280000e-04  4.99724876e+00  2.55280000e-04  2.49862438e+00 
 2.56280000e-04  4.99610809e+00  2.56280000e-04  2.49805405e+00 
 2.57280000e-04  4.99477018e+00  2.57280000e-04  2.49738509e+00 
 2.58280000e-04  4.99323508e+00  2.58280000e-04  2.49661754e+00 
 2.59280000e-04  4.99150286e+00  2.59280000e-04  2.49575143e+00 
 2.60280000e-04  4.98957359e+00  2.60280000e-04  2.49478679e+00 
 2.61280000e-04  4.98744733e+00  2.61280000e-04  2.49372366e+00 
 2.62280000e-04  4.98512418e+00  2.62280000e-04  2.49256209e+00 
 2.63280000e-04  4.98260422e+00  2.63280000e-04  2.49130211e+00 
 2.64280000e-04  4.97988756e+00  2.64280000e-04  2.48994378e+00 
 2.65280000e-04  4.97697430e+00  2.65280000e-04  2.48848715e+00 
 2.66280000e-04  4.97386456e+00  2.66280000e-04  2.48693228e+00 
 2.67280000e-04  4.97055846e+00  2.67280000e-04  2.48527923e+00 
 2.68280000e-04  4.96705613e+00  2.68280000e-04  2.48352806e+00 
 2.69280000e-04  4.96335771e+00  2.69280000e-04  2.48167885e+00 
 2.70280000e-04  4.95946334e+00  2.70280000e-04  2.47973167e+00 
 2.71280000e-04  4.95537318e+00  2.71280000e-04  2.47768659e+00 
 2.72280000e-04  4.95108740e+00  2.72280000e-04  2.47554370e+00 
 2.73280000e-04  4.94660615e+00  2.73280000e-04  2.47330308e+00 
 2.74280000e-04  4.94192962e+00  2.74280000e-04  2.47096481e+00 
 2.75280000e-04  4.93705799e+00  2.75280000e-04  2.46852900e+00 
 2.76280000e-04  4.93199146e+00  2.76280000e-04  2.46599573e+00 
 2.77280000e-04  4.92673021e+00  2.77280000e-04  2.46336511e+00 
 2.78280000e-04  4.92127447e+00  2.78280000e-04  2.46063724e+00 
 2.79280000e-04  4.91562445e+00  2.79280000e-04  2.45781222e+00 
 2.80280000e-04  4.90978036e+00  2.80280000e-04  2.45489018e+00 
 2.81280000e-04  4.90374245e+00  2.81280000e-04  2.45187122e+00 
 2.82280000e-04  4.89751094e+00  2.82280000e-04  2.44875547e+00 
 2.83280000e-04  4.89108609e+00  2.83280000e-04  2.44554304e+00 
 2.84280000e-04  4.88446814e+00  2.84280000e-04  2.44223407e+00 
 2.85280000e-04  4.87765737e+00  2.85280000e-04  2.43882869e+00 
 2.86280000e-04  4.87065404e+00  2.86280000e-04  2.43532702e+00 
 2.87280000e-04  4.86345842e+00  2.87280000e-04  2.43172921e+00 
 2.88280000e-04  4.85607079e+00  2.88280000e-04  2.42803540e+00 
 2.89280000e-04  4.84849146e+00  2.89280000e-04  2.42424573e+00 
 2.90280000e-04  4.84072072e+00  2.90280000e-04  2.42036036e+00 
 2.91280000e-04  4.83275888e+00  2.91280000e-04  2.41637944e+00 
 2.92280000e-04  4.82460624e+00  2.92280000e-04  2.41230312e+00 
 2.93280000e-04  4.81626314e+00  2.93280000e-04  2.40813157e+00 
 2.94280000e-04  4.80772990e+00  2.94280000e-04  2.40386495e+00 
 2.95280000e-04  4.79900687e+00  2.95280000e-04  2.39950343e+00 
 2.96280000e-04  4.79009437e+00  2.96280000e-04  2.39504718e+00 
 2.97280000e-04  4.78099277e+00  2.97280000e-04  2.39049638e+00 
 2.98280000e-04  4.77170242e+00  2.98280000e-04  2.38585121e+00 
 2.99280000e-04  4.76222370e+00  2.99280000e-04  2.38111185e+00 
 3.00280000e-04  4.75255697e+00  3.00280000e-04  2.37627848e+00 
 3.01280000e-04  4.74270262e+00  3.01280000e-04  2.37135131e+00 
 3.02280000e-04  4.73266103e+00  3.02280000e-04  2.36633052e+00 
 3.03280000e-04  4.72243261e+00  3.03280000e-04  2.36121630e+00 
 3.04280000e-04  4.71201775e+00  3.04280000e-04  2.35600888e+00 
 3.05280000e-04  4.70141687e+00  3.05280000e-04  2.35070844e+00 
 3.06280000e-04  4.69063039e+00  3.06280000e-04  2.34531519e+00 
 3.07280000e-04  4.67965873e+00  3.07280000e-04  2.33982936e+00 
 3.08280000e-04  4.66850232e+00  3.08280000e-04  2.33425116e+00 
 3.09280000e-04  4.65716161e+00  3.09280000e-04  2.32858081e+00 
 3.10280000e-04  4.64563704e+00  3.10280000e-04  2.32281852e+00 
 3.11280000e-04  4.63392908e+00  3.11280000e-04  2.31696454e+00 
 3.12280000e-04  4.62203817e+00  3.12280000e-04  2.31101908e+00 
 3.13280000e-04  4.60996479e+00  3.13280000e-04  2.30498239e+00 
 3.14280000e-04  4.59770942e+00  3.14280000e-04  2.29885471e+00 
 3.15280000e-04  4.58527253e+00  3.15280000e-04  2.29263627e+00 
 3.16280000e-04  4.57265463e+00  3.16280000e-04  2.28632732e+00 
 3.17280000e-04  4.55985621e+00  3.17280000e-04  2.27992811e+00 
 3.18280000e-04  4.54687778e+00  3.18280000e-04  2.27343889e+00 
 3.19280000e-04  4.53371984e+00  3.19280000e-04  2.26685992e+00 
 3.20280000e-04  4.52038291e+00  3.20280000e-04  2.26019146e+00 
 3.21280000e-04  4.50686753e+00  3.21280000e-04  2.25343377e+00 
 3.22280000e-04  4.49317423e+00  3.22280000e-04  2.24658711e+00 
 3.23280000e-04  4.47930354e+00  3.23280000e-04  2.23965177e+00 
 3.24280000e-04  4.46525602e+00  3.24280000e-04  2.23262801e+00 
 3.25280000e-04  4.45103222e+00  3.25280000e-04  2.22551611e+00 
 3.26280000e-04  4.43663270e+00  3.26280000e-04  2.21831635e+00 
 3.27280000e-04  4.42205803e+00  3.27280000e-04  2.21102901e+00 
 3.28280000e-04  4.40730878e+00  3.28280000e-04  2.20365439e+00 
 3.29280000e-04  4.39238554e+00  3.29280000e-04  2.19619277e+00 
 3.30280000e-04  4.37728890e+00  3.30280000e-04  2.18864445e+00 
 3.31280000e-04  4.36201944e+00  3.31280000e-04  2.18100972e+00 
 3.32280000e-04  4.34657779e+00  3.32280000e-04  2.17328889e+00 
 3.33280000e-04  4.33096453e+00  3.33280000e-04  2.16548227e+00 
 3.34280000e-04  4.31518030e+00  3.34280000e-04  2.15759015e+00 
 3.35280000e-04  4.29922571e+00  3.35280000e-04  2.14961286e+00 
 3.36280000e-04  4.28310140e+00  3.36280000e-04  2.14155070e+00 
 3.37280000e-04  4.26680800e+00  3.37280000e-04  2.13340400e+00 
 3.38280000e-04  4.25034615e+00  3.38280000e-04  2.12517307e+00 
 3.39280000e-04  4.23371650e+00  3.39280000e-04  2.11685825e+00 
